quote,joy,sadness,anger,surprise,dominant,ambiguous,emotion
"A painter should begin every canvas with a wash of black, because all things in nature are dark except where exposed by the light.",0,1,0,0,sadness,False,sad
Pain is temporary. Quitting lasts forever.,0,1,0,0,sadness,False,sad
"When I was a little girl I used to read fairy tales. In fairy tales you meet Prince Charming and he's everything you ever wanted. In fairy tales the bad guy is very easy to spot. The bad guy is always wearing a black cape so you always know who he is. Then you grow up and you realize that Prince Charming is not as easy to find as you thought. You realize the bad guy is not wearing a black cape and he's not easy to spot; he's really funny, and he makes you laugh, and he has perfect hair.",3,3,3,1,joy,True,happy
"It’s only after you’ve stepped outside your comfort zone that you begin to change, grow, and transform.",2,0,0,0,joy,False,happy
"The most important kind of freedom is to be what you really are. You trade in your reality for a role. You trade in your sense for an act. You give up your ability to feel, and in exchange, put on a mask. There can't be any large-scale revolution until there's a personal revolution, on an individual level. It's got to happen inside first.",2,2,2,2,joy,True,happy
Don't be afraid of your fears. They're not there to scare you. They're there to let you know that something is worth it.,0,0,1,1,anger,False,angry
"I was smiling yesterday,I am smiling today and I will smile tomorrow.Simply because life is too short to cry for anything.",3,1,0,1,joy,False,happy
All the darkness in the world cannot extinguish the light of a single candle.,0,1,2,0,anger,False,angry
"If you want to be happy, do not dwell in the past, do not worry about the future, focus on living fully in the present.",2,1,0,1,joy,False,happy
You never fail until you stop trying.,0,0,0,0,joy,True,happy
"If you want to forget something or someone, never hate it, or never hate him/her. Everything and everyone that you hate is engraved upon your heart; if you want to let go of something, if you want to forget, you cannot hate.",0,4,4,0,sadness,False,sad
"More smiling, less worrying. More compassion, less judgment. More blessed, less stressed. More love, less hate.",3,2,1,1,joy,True,happy
"The Chinese use two brush strokes to write the word 'crisis.' One brush stroke stands for danger; the other for opportunity. In a crisis, be aware of the danger--but recognize the opportunity.",0,3,0,0,sadness,False,sad
"Stories never really end...even if the books like to pretend they do. Stories always go on. They don't end on the last page, any more than they begin on the first page.",0,0,0,0,joy,True,happy
"Start writing, no matter what. The water does not flow until the faucet is turned on.",0,0,0,0,joy,True,happy
Why didn't I learn to treat everything like it was the last time. My greatest regret was how much I believed in the future.,1,2,1,1,sadness,True,sad
"Take responsibility of your own happiness, never put it in other people’s hands.",1,0,0,0,joy,False,happy
You're off to Great Places,0,0,0,0,joy,True,happy
To see a World in a Grain of San,0,0,0,0,joy,True,happy
"Don't say you don't have enough time. You have exactly the same number of hours per day that were given to Helen Keller, Pasteur, Michelangelo, Mother Teresa, Leonardo da Vinci, Thomas Jefferson, and Albert Einstein.",1,1,0,0,joy,False,happy
"We have to allow ourselves to be loved by the people who really love us, the people who really matter. Too much of the time, we are blinded by our own pursuits of people to love us, people that don't even matter, while all that time we waste and the people who do love us have to stand on the sidewalk and watch us beg in the streets! It's time to put an end to this. It's time for us to let ourselves be loved.",3,1,0,0,joy,False,happy
"The secret of health for both mind and body is not to mourn for the past, nor to worry about the future, but to live the present moment wisely and earnestly.",1,2,0,1,sadness,False,sad
"Life is too short to waste your time on people who don’t respect, appreciate, and value you.",1,0,0,0,joy,False,happy
"The thing about growing up with Fred and George,"" said Ginny thoughtfully, ""is that you sort of start thinking anything's possible if you've got enough nerve.",0,0,0,0,joy,True,happy
Be mindful. Be grateful. Be positive. Be true. Be kind.,2,0,0,0,joy,False,happy
"Once you have tasted flight, you will forever walk the earth with your eyes turned skyward, for there you have been, and there you will always long to return.",0,0,0,0,joy,True,happy
"One love, one heart, one destiny.",1,0,0,0,joy,False,happy
Be the reason someone smiles. Be the reason someone feels loved and believes in the goodness in people.,1,0,0,1,joy,False,happy
"If she's amazing, she won't be easy. If she's easy, she won't be amazing. If she's worth it, you wont give up. If you give up, you're not worthy. ... Truth is, everybody is going to hurt you; you just gotta find the ones worth suffering for.",0,2,1,0,sadness,False,sad
"It's not the face, but the expressions on it. It's not the voice, but what you say. It's not how you look in that body, but the thing you do with it. You are beautiful.",1,0,0,0,joy,False,happy
"So be sure when you step, Step with care and great tact. And remember that life's A Great Balancing Act. And will you succeed? Yes! You will, indeed! (98 and ¾ percent guaranteed) Kid, you'll move mountains.",1,0,0,1,joy,False,happy
"Do what is right, not what is easy nor what is popular.",0,0,0,0,joy,True,happy
"Accept yourself, love yourself, and keep moving forward. If you want to fly, you have to give up what weighs you down.",1,0,0,0,joy,False,happy
"Is 'fat' really the worst thing a human being can be? Is 'fat' worse than 'vindictive', 'jealous', 'shallow', 'vain', 'boring' or 'cruel'? Not to me.",0,1,0,0,sadness,False,sad
"Dance, when you're broken open. Dance, if you've torn the bandage off. Dance in the middle of the fighting. Dance in your blood. Dance when you're perfectly free.",5,1,2,0,joy,False,happy
Any fool can be happy. It takes a man with real heart to make beauty out of the stuff that makes us weep.,2,1,0,0,joy,False,happy
You is kind. You is smart. You is important.,1,0,0,0,joy,False,happy
Live the Life of Your Dreams: Be brave enough to live the life of your dreams according to your vision and purpose instead of the expectations and opinions of others.,0,0,0,0,joy,True,happy
"The past is a place of reference, not a place of residence; the past is a place of learning, not a place of living.",0,0,0,0,joy,True,happy
"Understanding is the first step to acceptance, and only with acceptance can there be recovery.",0,0,0,0,joy,True,happy
"If you are irritated by every rub, how will your mirror be polished?",0,0,0,0,joy,True,happy
It is the time you have wasted for your rose that makes your rose so important.,0,0,1,0,anger,False,angry
"To me, Fearless is not the absense of fear. It's not being completely unafraid. To me, Fearless is having fears. Fearless is having doubts. Lots of them. To me, Fearless is living in spite of those things that scare you to death.",0,1,4,2,anger,False,angry
"You see things; you say, 'Why?' But I dream things that never were; and I say 'Why not?",0,0,0,0,joy,True,happy
"What makes the desert beautiful,' said the little prince, 'is that somewhere it hides a well...",1,1,1,0,joy,True,happy
"You were born with wings, why prefer to crawl through life?",0,0,0,0,joy,True,happy
?Though nobody can go back and make a new beginning... Anyone can start over and make a new ending.,0,0,0,0,joy,True,happy
"Live in the present, remember the past, and fear not the future, for it doesn't exist and never shall. There is only now.",1,0,1,1,joy,True,happy
"It doesn't interest me what you do for a living. I want to know what you ache for, and if you dare to dream of meeting your heart's longing",0,2,0,0,sadness,False,sad
We are just an advanced breed of monkeys on a minor planet of a very average star. But we can understand the Universe. That makes us something very special.,2,0,0,0,joy,False,happy
"Make improvements, not excuses. Seek respect, not attention.",1,0,0,0,joy,False,happy
Be grateful for what you already have while you pursue your goals,0,0,0,0,joy,True,happy
Life becomes easier and more beautiful when we can see the good in other people.,2,0,0,1,joy,False,happy
Happiness [is] only real when shared,1,0,0,0,joy,False,happy
"?Life is a shipwreck, but we must not forget to sing in the lifeboats.",1,2,0,0,sadness,False,sad
"Don't let the expectations and opinions of other people affect your decisions. It's your life, not theirs. Do what matters most to you; do what makes you feel alive and happy. Don't let the expectations and ideas of others limit who you are. If you let others tell you who you are, you are living their reality — not yours. There is more to life than pleasing people. There is much more to life than following others' prescribed path. There is so much more to life than what you experience right now. You need to decide who you are for yourself. Become a whole being. Adventure.",2,0,0,0,joy,False,happy
"Letting go means to come to the realization that some people are a part of your history, but not a part of your destiny.",0,0,0,0,joy,True,happy
"It was, he thought, the difference between being dragged into the arena to face a battle to the death and walking into the arena with your head held high. Some people, perhaps, would say that there was little to choose between the two ways, but Dumbledore knew - and so do I, thought Harry, with a rush of fierce pride, and so did my parents - that there was all the difference in the world.",1,2,4,1,anger,False,angry
"A ship is safe in harbor, but that's not what ships are for.",1,0,0,0,joy,False,happy
Better to be strong than pretty and useless.,1,0,0,0,joy,False,happy
"Follow your heart, listen to your inner voice, stop caring about what others think.",0,0,0,0,joy,True,happy
"The unreal is more powerful than the real. Because nothing is as perfect as you can imagine it. Because its only intangible ideas, concepts, beliefs, fantasies that last. Stone crumbles. Wood rots. People, well, they die. But things as fragile as a thought, a dream, a legend, they can go on and on. If you can change the way people think. The way they see themselves. The way they see the world. You can change the way people live their lives. That's the only lasting thing you can create.",3,2,2,0,joy,True,happy
The most common way people give up their power is by thinking they don't have any.,0,0,0,0,joy,True,happy
"Pursue what catches your heart, not what catches your eyes.",0,0,0,0,joy,True,happy
The past has no power over the present moment.,1,0,0,1,joy,False,happy
"Even if you are on the right track, you’ll get run over if you just sit there.",0,0,0,0,joy,True,happy
Maybe everyone can live beyond what they're capable of.,0,0,0,0,joy,True,happy
"Don’t waste your time in anger, regrets, worries, and grudges. Life is too short to be unhappy.",0,1,2,0,anger,False,angry
"The most beautiful things in the world cannot be seen or touched, they are felt with the heart.",1,0,0,0,joy,False,happy
"Believe in yourself. You are braver than you think, more talented than you know, and capable of more than you imagine.",0,0,0,0,joy,True,happy
"Life is about accepting the challenges along the way, choosing to keep moving forward, and savoring the journey.",1,0,0,0,joy,False,happy
Learn to light a candle in the darkest moments of someone’s life. Be the light that helps others see; it is what gives life its deepest significance.,0,0,0,0,joy,True,happy
"No amount of regretting can change the past, and no amount of worrying can change the future.",0,2,0,0,sadness,False,sad
May the forces of evil become confused on the way to your house.,0,1,1,0,sadness,False,sad
"I have come to accept the feeling of not knowing where I am going. And I have trained myself to love it. Because it is only when we are suspended in mid-air with no landing in sight, that we force our wings to unravel and alas begin our flight. And as we fly, we still may not know where we are going to. But the miracle is in the unfolding of the wings. You may not know where you're going, but you know that so long as you spread your wings, the winds will carry you.",3,1,2,2,joy,True,happy
"When people don't express themselves, they die one piece at a time.",0,1,0,0,sadness,False,sad
"The only way that we can live, is if we grow. The only way that we can grow is if we change. The only way that we can change is if we learn. The only way we can learn is if we are exposed. And the only way that we can become exposed is if we throw ourselves out into the open. Do it. Throw yourself.",2,0,0,0,joy,False,happy
The worst part of success is trying to find someone who is happy for you.,2,0,0,0,joy,False,happy
"There are some things you can't share without ending up liking each other, and knocking out a twelve-foot mountain troll is one of them.",2,0,1,0,joy,False,happy
"You should never be surprised when someone treats you with respect, you should expect it.",1,0,0,2,surprise,False,surprise
"She seems so cool, so focused, so quiet, yet her eyes remain fixed upon the horizon. You think you know all there is to know about her immediately upon meeting her, but everything you think you know is wrong. Passion flows through her like a river of blood",1,1,0,0,joy,False,happy
"No matter what he does, every person on earth plays a central role in the history of the world. And normally he doesn't know it.",0,0,0,0,joy,True,happy
"There was another life that I might have had, but I am having this one.",0,0,0,0,joy,True,happy
What's the good of living if you don't try a few things?,1,0,0,1,joy,False,happy
Nothing in the world is ever completely wrong. Even a stopped clock is right twice a day.,0,0,0,0,joy,True,happy
Start each day with a positive thought and a grateful heart.,0,0,0,0,joy,True,happy
"Lack of direction, not lack of time, is the problem. We all have twenty-four hour days.",0,1,0,0,sadness,False,sad
"If people refuse to look at you in a new light and they can only see you for what you were, only see you for the mistakes you've made, if they don't realize that you are not your mistakes, then they have to go.",0,0,0,0,joy,True,happy
"Treat everyone with politeness and kindness, not because they are nice, but because you are.",1,1,1,1,joy,True,happy
Be brave to stand for what you believe in even if you stand alone.,0,0,0,0,joy,True,happy
"Success is not how high you have climbed, but how you make a positive difference to the world.",1,0,0,0,joy,False,happy
Try a little harder to be a little better.,0,0,0,0,joy,True,happy
"If you think you are too small to make a difference, try sleeping with a mosquito.",0,0,1,0,anger,False,angry
Reputation is what other people know about you. Honor is what you know about yourself.,0,0,0,0,joy,True,happy
"Everything can be taken from a man but one thing: the last of the human freedoms—to choose one’s attitude in any given set of circumstances, to choose one’s own way.",0,0,0,0,joy,True,happy
Do not fear failure but rather fear not trying.,0,1,2,0,anger,False,angry
"The purpose of life is to live it, to taste experience to the utmost, to reach out eagerly and without fear for newer and richer experience.",0,0,1,0,anger,False,angry
"Even if you cannot change all the people around you, you can change the people you choose to be around. Life is too short to waste your time on people who don’t respect, appreciate, and value you. Spend your life with people who make you smile, laugh, and feel loved.",3,0,0,2,joy,False,happy
"The important thing to you is not how many years in your life, but how much life in your years!",0,0,0,0,joy,True,happy
It does not matter how slowly you go as long as you do not stop.,0,0,0,0,joy,True,happy
"Change will not come if we wait for some other person, or if we wait for some other time. We are the ones we've been waiting for. We are the change that we seek.",0,0,0,0,joy,True,happy
"You cannot control the behavior of others, but you can always choose how you respond to it.",0,0,0,0,joy,True,happy
Kindness is a language which the deaf can hear and the blind can see.,0,0,0,0,joy,True,happy
"Remember, darkness does not always equate to evil, just as light does not always bring good.",1,2,2,1,sadness,True,sad
Top 15 Things Money Can’t Bu,1,0,1,1,joy,True,happy
I meant what I said and I said what I meant. An elephant's faithful one-hundred percent!,0,0,0,0,joy,True,happy
"When I was about eight, I decided that the most wonderful thing, next to a human being, was a book.",1,0,0,1,joy,False,happy
"Go on with what your heart tells you, or you will lose all.",0,1,1,1,sadness,True,sad
"All parents damage their children. It cannot be helped. Youth, like pristine glass, absorbs the prints of its handlers. Some parents smudge, others crack, a few shatter childhoods completely into jagged little pieces, beyond repair.",1,2,3,2,anger,True,angry
"What do we live for, if it is not to make life less difficult for each other?",0,0,0,0,joy,True,happy
"Always find opportunities to make someone smile, and to offer random acts of kindness in everyday life.",1,0,0,1,joy,False,happy
There must be those among whom we can sit down and weep and still be counted as warriors.,0,1,0,0,sadness,False,sad
Tears are words that need to be written.,0,0,1,0,anger,False,angry
"Every book, every volume you see here, has a soul. The soul of the person who wrote it and of those who read it and lived and dreamed with it. Every time a book changes hands, every time someone runs his eyes down its pages, its spirit grows and strengthens.",0,0,0,0,joy,True,happy
"When one tugs at a single thing in nature, he finds it attached to the rest of the world.",0,0,0,0,joy,True,happy
"Anyone can hide. Facing up to things, working through them, that's what makes you strong.",0,0,0,0,joy,True,happy
